Latitude and Longitude,Class of Land,RVI,mean_rvi,min_rvi,max_rvi,std_rvi,Predicted Class
"(10.32327281825184, 105.27979679203008)",Rice,"<xarray.DataArray (time: 45)>
array([0.78344125, 0.6674389 , 0.7828659 , 0.24254334, 0.24837023,
       0.81211746, 0.2909511 , 0.37970346, 0.5101894 , 0.5327057 ,
       0.6630275 , 0.7155006 , 1.3454568 , 1.347651  , 0.7969113 ,
       1.2039819 , 0.8620604 , 0.6872848 , 1.0437123 , 1.0958877 ,
       0.73914564, 0.2539033 , 0.47703412, 0.8198817 , 0.8607874 ,
       0.3164658 , 0.15596364, 0.6359438 , 0.5622866 , 1.0649679 ,
       0.6766724 , 1.0944988 , 0.7754841 , 1.0132834 , 0.8359848 ,
       0.7788717 , 1.10745   , 0.8652924 , 0.3939784 , 0.73926765,
       0.49990278, 0.6746144 , 0.93689775, 0.14239165, 0.15570424],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7019661, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.14239165)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.347651)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31069332)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.323727047081501, 105.28888136862287)",Rice,"<xarray.DataArray (time: 45)>
array([0.60976756, 0.7238141 , 0.582303  , 0.39933443, 0.42248154,
       0.9110928 , 0.35224944, 0.2749923 , 0.55648047, 0.6202292 ,
       0.7854932 , 0.8045706 , 1.0189515 , 1.0488424 , 1.2978671 ,
       1.4002894 , 0.815535  , 0.8345743 , 1.072258  , 0.9883064 ,
       1.1127224 , 0.54312766, 0.47007397, 0.2308024 , 0.50185436,
       0.5086592 , 0.24100374, 0.69133407, 0.8465259 , 0.9510582 ,
       0.85443896, 1.186204  , 1.0391425 , 1.0279819 , 0.9076876 ,
       0.91989756, 1.1363429 , 1.049429  , 0.4263477 , 0.78447556,
       0.5225111 , 0.3403092 , 0.4962399 , 0.33278844, 0.23217478],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7305014, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.2308024)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.40028942)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.30651802)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324635504740822, 105.26344455416304)",Rice,"<xarray.DataArray (time: 45)>
array([0.43911004, 0.5088733 , 0.6544752 , 0.24926238, 0.28504023,
       0.8163728 , 0.45673993, 0.7670462 , 0.129423  , 0.10101893,
       0.8012928 , 0.7990062 , 0.9439241 , 0.5633701 , 0.66125655,
       1.1945703 , 0.82421505, 0.9314686 , 1.1208671 , 0.69510543,
       0.98607546, 0.6798115 , 0.7153522 , 0.9125419 , 0.53875744,
       0.07045677, 0.3648002 , 0.53739715, 0.63608915, 0.83035856,
       0.5830552 , 0.794801  , 0.9005188 , 0.9243309 , 1.2416183 ,
       0.8813449 , 0.99029166, 0.7367899 , 0.34025458, 0.8045037 ,
       0.8491574 , 0.6735266 , 0.660831  , 0.12960677, 0.1672934 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6642667, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.07045677)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.24161828)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.29003677)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324181275911162, 105.26208186767411)",Rice,"<xarray.DataArray (time: 45)>
array([0.7359491 , 0.60712904, 0.8785488 , 0.29376933, 0.25729984,
       0.6811075 , 0.5818148 , 0.85081095, 0.09199978, 0.2225204 ,
       0.84503174, 0.7339324 , 1.1425434 , 0.6134147 , 0.82037014,
       1.0202041 , 0.8167956 , 0.61418605, 1.1631092 , 0.78992885,
       1.1509997 , 0.67762446, 0.82414347, 0.91747797, 0.6486826 ,
       0.12406308, 0.5002172 , 0.6868553 , 0.56634355, 0.7275051 ,
       0.8108244 , 1.1623688 , 0.9726993 , 0.95118326, 0.86787593,
       0.908705  , 0.7192929 , 0.6251677 , 0.4549591 , 0.6587536 ,
       0.8531831 , 0.91079473, 0.69379216, 0.15800448, 0.12724526],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.69909394, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09199978)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.16310918)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.27792796)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.319184758784901, 105.23573659555498)",Rice,"<xarray.DataArray (time: 45)>
array([1.0300391 , 0.89187264, 0.5412105 , 0.7123317 , 0.9226818 ,
       0.8660705 , 0.3873183 , 0.3198822 , 0.09291174, 0.1668092 ,
       0.6060093 , 0.6776617 , 0.7756057 , 0.8747857 , 0.77181125,
       0.69832695, 0.84098774, 0.98694205, 0.78189164, 0.9077022 ,
       1.090848  , 0.7337826 , 0.8220688 , 0.6533893 , 0.60249555,
       0.11523475, 0.15915538, 0.45460707, 0.39015803, 0.87712044,
       0.88275075, 1.1048002 , 1.0143337 , 0.7831449 , 0.8999341 ,
       1.231453  , 1.1473634 , 0.9555416 , 0.72910124, 0.6666479 ,
       0.56602776, 0.5785833 , 0.7334207 , 0.2574691 , 0.43999374],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7053839, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09291174)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.23145294)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.28037551)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.320547445273881, 105.25435997757023)",Rice,"<xarray.DataArray (time: 45)>
array([0.66134775, 0.76210666, 0.4997051 , 0.37161714, 0.27569085,
       0.38359022, 0.39460078, 0.42120034, 0.6394451 , 0.7583211 ,
       0.6013159 , 0.2822444 , 1.381004  , 1.2431853 , 0.71300066,
       1.1682085 , 0.51972735, 0.99105644, 1.3485748 , 1.0123178 ,
       1.0968486 , 0.4304477 , 0.50374544, 0.19850788, 0.33978134,
       0.13124318, 0.26547202, 0.83857524, 0.769428  , 1.1130588 ,
       1.0421772 , 1.2468631 , 0.95359004, 1.0102987 , 0.97966063,
       1.0018185 , 0.9642852 , 1.1173288 , 0.76111096, 0.75139046,
       0.3982357 , 0.31407282, 0.27825922, 0.18391201, 0.10588776],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6938725, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10588776)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.38100398)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.35895425)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.31963898761456, 105.24255002799958)",Rice,"<xarray.DataArray (time: 45)>
array([0.5981203 , 0.7787136 , 0.7823432 , 0.8752979 , 0.7980238 ,
       0.2628641 , 0.63093054, 0.95693755, 0.13300149, 0.18390326,
       0.47454703, 0.38265088, 1.0282705 , 0.9345214 , 1.073924  ,
       0.9575911 , 0.8354512 , 0.9228757 , 1.041552  , 0.9511603 ,
       1.1089789 , 0.9426673 , 0.881871  , 0.39212543, 0.25261793,
       0.08215827, 0.1474193 , 0.5533807 , 0.4998084 , 0.8319662 ,
       0.8156756 , 0.9071206 , 1.2658758 , 1.1705463 , 1.2321718 ,
       1.2734773 , 0.83023685, 0.67342323, 0.5016234 , 0.63404244,
       0.6478533 , 0.4925345 , 0.32641026, 0.43859452, 0.43892518],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.70987076, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.08215827)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.27347732)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31939793)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.320547445273881, 105.23619082438464)",Rice,"<xarray.DataArray (time: 45)>
array([0.6464296 , 0.8594138 , 0.6739244 , 0.48692986, 0.7206872 ,
       0.4075074 , 0.42384234, 0.7162557 , 0.09051845, 0.13666876,
       0.43571547, 0.42759904, 0.758356  , 0.34010637, 0.8551981 ,
       1.1623762 , 1.0420792 , 0.9569764 , 0.9158648 , 0.9750154 ,
       1.3037317 , 0.932501  , 0.8654119 , 0.46055555, 0.46346495,
       0.24118613, 0.22000584, 0.23463319, 0.37793556, 0.9341396 ,
       1.1826276 , 1.0171634 , 1.0129889 , 1.138856  , 1.157376  ,
       0.9094676 , 0.9748987 , 0.8916553 , 0.34732026, 0.72752887,
       0.3837299 , 0.3456882 , 0.4391866 , 0.21710482, 0.21317539],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.66719544, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09051845)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.30373168)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.3316949)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324181275911162, 105.23709928204391)",Rice,"<xarray.DataArray (time: 45)>
array([0.7279222 , 0.84465384, 0.9704489 , 0.6072317 , 0.8435408 ,
       0.40133268, 0.35527882, 0.38769528, 0.16444175, 0.24055324,
       0.49871516, 0.6339444 , 1.004079  , 0.35838786, 1.1337999 ,
       1.1307938 , 0.7454362 , 1.062166  , 0.7429931 , 0.83506715,
       1.187448  , 0.68013465, 1.0464863 , 0.4721    , 0.45321357,
       0.49243313, 0.68109536, 0.23196964, 0.32639623, 0.6082528 ,
       0.6721946 , 1.0634611 , 0.81622267, 0.9951589 , 1.2187858 ,
       0.8177166 , 0.87944824, 0.77861845, 0.9443952 , 0.6847537 ,
       1.0577953 , 1.2982793 , 0.60235405, 0.72862506, 0.75997955],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.73746216, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16444175)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.29827929)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.28447419)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.324635504740822, 105.26026495235556)",Rice,"<xarray.DataArray (time: 45)>
array([0.46667135, 0.3915509 , 0.6124979 , 0.3179121 , 0.4224174 ,
       0.9038198 , 0.40942731, 0.693057  , 0.27144516, 0.30311078,
       0.6351777 , 0.9029477 , 1.1938757 , 0.94607395, 0.9879912 ,
       1.3338984 , 0.72288734, 0.454119  , 0.99567795, 0.7419067 ,
       0.50092715, 0.74339813, 0.31782553, 0.61594033, 0.66197264,
       0.40518144, 0.41793254, 0.80525666, 0.37179756, 0.8733407 ,
       0.67072994, 1.1555384 , 0.9234194 , 0.8939381 , 0.78149736,
       0.7037064 , 1.2816249 , 0.82005125, 0.7793203 , 0.7913653 ,
       0.29204428, 0.62475276, 0.4911904 , 0.2831521 , 0.15517546],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.66816765, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15517546)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.33389843)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.28496629)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.32009321644422, 105.23846196853285)",Rice,"<xarray.DataArray (time: 45)>
array([0.95191866, 0.71827984, 0.7431286 , 0.78484446, 1.1386062 ,
       0.77968943, 0.5069687 , 0.9001725 , 0.12611806, 0.3697305 ,
       0.4846663 , 0.683247  , 0.59726053, 0.4453616 , 0.7065245 ,
       0.83551675, 0.8523485 , 0.74086666, 1.2289392 , 0.8840909 ,
       1.1360292 , 0.71648705, 0.4765603 , 0.5500906 , 0.7545586 ,
       0.08691014, 0.15336469, 0.6109902 , 0.5707144 , 0.66340965,
       0.327841  , 0.9777258 , 1.0178298 , 0.8605646 , 1.2473391 ,
       0.78818697, 1.2320062 , 0.97449857, 0.43108472, 0.888261  ,
       0.53831947, 0.37776005, 0.69354725, 0.50395256, 0.65746164],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7047504, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.08691014)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.24733913)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.27960041)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.325089733570481, 105.25617689288879)",Rice,"<xarray.DataArray (time: 45)>
array([0.570939  , 1.0170103 , 0.6732468 , 0.7722504 , 0.6999331 ,
       0.6963633 , 0.30447865, 0.33878365, 0.08175682, 0.19965132,
       0.9516516 , 0.87478817, 0.64698416, 0.29971308, 1.1665947 ,
       1.0455757 , 0.7694499 , 0.5568809 , 1.2887561 , 0.58770627,
       1.2057351 , 0.9647704 , 0.9415237 , 0.36012655, 0.38747123,
       0.16220005, 0.2554445 , 0.4889874 , 0.3711269 , 0.7700705 ,
       0.47381935, 1.0931262 , 0.84363616, 1.1448107 , 0.8547747 ,
       0.5800249 , 0.8512976 , 0.8391321 , 0.56621206, 0.52931476,
       0.5835387 , 0.48959625, 0.36885336, 0.17011277, 0.22083381],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6457567, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.08175682)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.28875613)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31128153)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321455902933202, 105.23074007842897)",Rice,"<xarray.DataArray (time: 45)>
array([0.47761476, 0.6150325 , 0.3841011 , 0.24549206, 0.31123957,
       0.5867014 , 0.18891206, 0.6753907 , 0.11011142, 0.16260256,
       0.7268052 , 0.21431354, 0.91916054, 1.1859431 , 0.9994236 ,
       1.4716492 , 0.6817845 , 1.0600541 , 0.9266895 , 1.0009261 ,
       1.0903013 , 0.64316183, 0.674039  , 0.6233634 , 0.63571566,
       0.12834294, 0.37077948, 0.73606235, 0.5654072 , 0.6696342 ,
       0.60996735, 0.92967033, 1.0049756 , 0.93169105, 1.0499171 ,
       0.8783922 , 1.2986153 , 0.559727  , 0.43900707, 0.82130027,
       0.6988978 , 0.46408975, 0.7481199 , 0.4929214 , 0.595506  ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.68007904, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11011142)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.47164917)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31417346)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.325089733570481, 105.26071918118518)",Rice,"<xarray.DataArray (time: 45)>
array([0.58476454, 0.77274114, 0.7843203 , 0.36934075, 0.38343805,
       1.0109692 , 0.42981476, 0.44330418, 0.22956297, 0.28630626,
       0.8208127 , 0.8324245 , 1.0089332 , 1.3164799 , 1.0818961 ,
       1.1948833 , 0.5436276 , 0.6581267 , 1.0943159 , 1.0208868 ,
       0.8288053 , 0.7611166 , 0.59737486, 0.4438523 , 0.45812568,
       0.25207084, 0.21441327, 0.69826776, 0.7390103 , 0.72095585,
       0.64142245, 1.1862183 , 0.9479572 , 0.9004209 , 0.8544491 ,
       0.7265393 , 1.2099018 , 0.8070656 , 0.867816  , 0.74963415,
       0.475768  , 0.49770725, 0.67124844, 0.18227471, 0.09954318],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.69775355, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09954318)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.31647992)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.2991918)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.323727047081501, 105.24073311268103)",Rice,"<xarray.DataArray (time: 45)>
array([1.0858457 , 0.8201534 , 0.74873173, 0.43840545, 0.47536343,
       0.43583542, 0.5275047 , 0.47453517, 0.09925519, 0.15339774,
       0.5520936 , 0.45505074, 0.97241557, 0.6340527 , 1.041674  ,
       0.88719755, 1.016635  , 0.7814738 , 1.0033814 , 0.8499982 ,
       0.90284485, 0.6756055 , 0.93853986, 0.2726009 , 0.45563337,
       0.11256742, 0.19378912, 0.38634908, 0.36950406, 1.1585093 ,
       0.83428156, 0.9606844 , 0.8854428 , 1.0375297 , 1.3212727 ,
       1.0290247 , 0.73936975, 0.87322617, 0.62538207, 0.8713659 ,
       0.6852276 , 0.69265664, 0.49439362, 0.26797825, 0.34218454],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6795326, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.09925519)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.32127273)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.30265006)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.323727047081501, 105.24345848565886)",Rice,"<xarray.DataArray (time: 45)>
array([0.666314  , 0.75106186, 0.7770454 , 0.47136638, 0.57935977,
       0.30188826, 0.2893253 , 0.8350302 , 0.25357533, 0.2816931 ,
       0.68113655, 0.68249017, 0.79282016, 1.1861554 , 1.1992326 ,
       1.3277731 , 0.78325915, 0.7455588 , 1.0012202 , 0.84613   ,
       1.1524062 , 1.2131972 , 0.96000564, 0.34203094, 0.3796614 ,
       0.1118116 , 0.2453404 , 0.4737699 , 0.6650459 , 1.0930451 ,
       0.51486844, 0.8622509 , 1.0205216 , 1.1067042 , 0.8614454 ,
       1.0093977 , 1.2026225 , 0.8818176 , 0.9055085 , 0.6911132 ,
       0.7888971 , 0.5468683 , 0.5168453 , 0.43470526, 0.24453695],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7261523, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.1118116)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.32777309)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31349877)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.325089733570481, 105.27979679203008)",Rice,"<xarray.DataArray (time: 45)>
array([0.6305736 , 0.850336  , 0.6565514 , 0.34783855, 0.7569316 ,
       0.53336805, 0.13774638, 0.1224501 , 0.64684105, 0.44867218,
       0.56610173, 0.41344804, 0.94019544, 1.2012302 , 0.8707932 ,
       1.0665674 , 0.74390906, 0.7369597 , 1.1536653 , 0.77342767,
       0.7946469 , 0.71766084, 0.4007325 , 0.7436925 , 0.7189178 ,
       0.17761496, 0.23512416, 0.5699619 , 0.53751075, 0.70162785,
       0.74852794, 1.075881  , 1.1759212 , 0.9378765 , 0.9544494 ,
       0.7415378 , 1.0068619 , 0.6337185 , 0.8189491 , 0.73560894,
       0.73764724, 0.6148023 , 0.46585912, 0.11949915, 0.1052507 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6681664, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.1052507)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.20123017)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.28426158)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.323727047081501, 105.27752564788187)",Rice,"<xarray.DataArray (time: 45)>
array([0.83615774, 0.94225734, 0.6428891 , 0.30696884, 0.45608413,
       0.31911206, 0.07106899, 0.11507756, 0.5968663 , 0.3967304 ,
       0.33455253, 0.41107085, 1.0373157 , 0.9985393 , 1.1342624 ,
       0.8124126 , 0.968059  , 1.0870007 , 1.1740806 , 0.43972492,
       0.53640324, 0.66113925, 0.5208489 , 0.7147862 , 0.8631251 ,
       0.07852105, 0.18003125, 0.28003857, 0.51627624, 0.8308261 ,
       0.73124194, 0.91518855, 1.0711251 , 0.70837224, 1.1590624 ,
       0.7464986 , 1.2781346 , 0.81184447, 0.7105687 , 0.96367997,
       1.0708672 , 0.84164405, 0.64922696, 0.20226134, 0.2069305 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.673975, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.07106899)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.27813458)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.32731536)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.318276301125582, 105.22619779013255)",Rice,"<xarray.DataArray (time: 45)>
array([0.8182194 , 0.7445407 , 0.7440626 , 0.53887033, 0.6860492 ,
       0.49488142, 0.3649571 , 0.39228246, 0.15519015, 0.27895048,
       0.25845128, 0.21415178, 0.92235756, 0.7846571 , 1.0404797 ,
       1.2794428 , 0.71569854, 0.7781954 , 0.9954621 , 1.0465277 ,
       1.2092855 , 0.9044949 , 0.73307014, 0.25409314, 0.33355984,
       0.18776341, 0.32037643, 0.2325218 , 0.1862526 , 0.96219337,
       0.88896245, 1.0745773 , 1.0645431 , 1.0990777 , 0.88412577,
       0.8442701 , 0.92125994, 0.76110226, 0.49044704, 0.54672617,
       0.85071343, 0.9100183 , 0.3460547 , 0.65746045, 0.72056293],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6808209, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15519015)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.27944279)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31034359)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.321455902933202, 105.22710624779182)",Rice,"<xarray.DataArray (time: 45)>
array([0.7984771 , 0.80644   , 0.66186005, 0.5882179 , 0.28175566,
       0.2457063 , 0.3538977 , 0.52988875, 0.13851371, 0.32122615,
       0.94505686, 0.77968603, 0.9648545 , 0.98330843, 0.945014  ,
       1.2232585 , 0.7119136 , 0.6981095 , 0.98757076, 0.7930411 ,
       1.1219691 , 0.5181507 , 0.8917722 , 0.50283635, 0.7503899 ,
       0.20378634, 0.26823533, 0.44542754, 0.5823104 , 0.76056004,
       0.75148386, 0.92035073, 0.9082244 , 1.0048618 , 0.9304748 ,
       1.2418573 , 0.9188723 , 0.62060434, 0.54467523, 0.6580435 ,
       0.67399395, 0.52440655, 0.28944784, 0.40004456, 0.5017243 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6820511, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.13851371)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.24185729)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.27484789)
Coordinates:
    spatial_ref  int32 4326",Rice
"(10.325089733570481, 105.2666241559705)",Rice,"<xarray.DataArray (time: 45)>
array([0.8390632 , 0.736063  , 0.62330955, 0.34902337, 0.2914473 ,
       0.56491566, 0.12122399, 0.20221882, 0.13302575, 0.20301455,
       0.5700159 , 0.40404668, 0.9862509 , 1.3494579 , 0.70857227,
       0.83728683, 0.7550592 , 0.4988798 , 0.9503706 , 0.9808969 ,
       0.761663  , 0.8365968 , 0.6068512 , 0.552715  , 0.47210288,
       0.15382485, 0.12919302, 0.29805908, 0.28319705, 0.901966  ,
       0.8566064 , 1.1183614 , 1.0609277 , 1.0446986 , 0.784801  ,
       0.8162847 , 0.60730016, 1.0778002 , 0.773339  , 0.7067841 ,
       0.5661996 , 0.3387933 , 0.5357529 , 0.2095029 , 0.3557671 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6211829, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12122399)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.34945786)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.3085542)
Coordinates:
    spatial_ref  int32 4326",Rice
